"Afghan Hound",27,27,60,60
Akita,28,28,130,100
"Alaskan Klee Kai",28,28,130,100
"Alaskan Malamute",25,25,85,75
"American Bulldog",28,24,100,80
"American Eskimo Dog",26,26,65,65
"American Hairless Terrier",16,16,16,16
"American Leopard Hound",27,27,70,70
"American Staffordshire Terrier",19,19,70,55
"American Water Spaniel",18,18,45,40
"Anatolian Shepherd Dog",29,29,150,120
"Australian Cattle Dog",20,20,50,50
"Australian Shepherd",23,23,65,55
Barbet,24.5,24.5,65,65
Basenji,17,17,24,22
"Basset Hound",15,14,65,65
Beagle,16,15,20,30
Beauceron,27.5,27.5,110,110
"Belgian Malinois",26,26,80,60
"Bergamasco Sheepdog",23.5,23.5,84,71
